Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1759,0,0,0
2008,127653,Naropa University,02117500,1,Arapahoe Campus,1075,0,0,0
2008,127884,Pueblo Community College,02116300,1,Main Campus,5437,0,0,0
2008,127918,Regis University,00136300,1,Northwest Denver Campus,11040,0,0,0
2008,126915,Technical College of the Rockies,02156200,1,Main Campus,470,0,0,0
2008,128258,Trinidad State College,00136800,1,Trinidad Campus,1740,0,2,0
2008,126614,University of Colorado Boulder,00137000,1,Main Campus,32469,0,0,0
2008,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,21903,0,0,0
2008,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,21903,0,0,0
2008,127060,University of Denver,00137100,1,University Park Campus,11328,0,0,0
2008,127741,University of Northern Colorado,00134900,1,Main Campus,12498,0,6,10
2008,128391,Western Colorado University,00137200,1,Main Campus,2315,0,0,0
2009,126182,Adams State University,00134500,1,Adams State University,3121,0,0,0
2009,126207,Aims Community College,00758200,1,Greeley Campus,5510,0,0,0
2009,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2511,0,0,0
2009,126678,Colorado College,00134700,1,Colorado College,2032,0,0,0
2009,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,7042,0,0,25
2009,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,7042,0,0,0
2009,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5741,0,0,0
2009,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1375,0,0,0
2009,126775,Colorado School of Mines,00134800,1,Main Campus,5124,0,0,0
2009,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6443,0,0,8
2009,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28902,0,0,14
2009,127158,Emily Griffith Technical College,00559600,1,Main Campus,2230,0,0,0
2009,127185,Fort Lewis College,00135300,1,Main Campus,3770,0,2,0
2009,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),22837,0,1,0
2009,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1918,0,0,0
2009,127653,Naropa University,02117500,1,Arapahoe Campus,1073,0,0,0
2009,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2497,0,0,0
2009,128151,Pickens Technical College,01287500,1,Pickens Technical College,1362,0,0,0
2009,127884,Pueblo Community College,02116300,1,Main Campus,6592,0,0,0
2009,127918,Regis University,00136300,1,Northwest Denver Campus,10874,0,0,0
2009,454689,Taft University System,04100400,1,Main campus - The Taft University System,293,0,0,0
2009,126915,Technical College of the Rockies,02156200,1,Main Campus,493,0,0,0
2009,128258,Trinidad State College,00136800,1,Trinidad Campus,1812,0,0,0
2009,128258,Trinidad State College,00136800,2,Valley Campus,1812,0,0,0
