Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2003,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,1580,0,0,0
2003,126678,Colorado College,00134700,1,Colorado College,1968,0,0,17
2003,443632,Colorado Media School,03068201,1,Colorado Media School,109,0,0,0
2003,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,5765,0,4,10
2003,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6247,0,2,1
2003,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,2242,0,2,3
2003,381732,Colorado School of Healing Arts,03584400,1,Colorado School of Healing Arts,240,0,0,0
2003,126775,Colorado School of Mines,00134800,1,Main Campus,4050,0,6,27
2003,126784,Colorado School of Trades,01157200,1,Main Campus,122,0,0,0
2003,381352,Colorado School of Traditional Chinese Medicine,03686300,1,Main Campus,111,0,0,0
2003,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,5835,0,3,44
2003,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28186,6,55,371
2003,126827,Colorado Technical University-Colorado Springs,01014800,1,Main Campus,1904,0,0,0
2003,177065,Columbia College,00245600,6,Columbia College @ Denver,10146,0,0,0
2003,126863,Community College of Aurora,02276900,1,CentreTech Campus,5521,0,0,0
2003,126942,Community College of Denver,00954200,1,Community College of Denver,9008,1,16,6
2003,126687,Concorde Career College-Aurora,00887100,1,Concorde Career College,426,0,0,0
2003,126979,Denver Seminary,00135200,1,Main Campus,706,0,0,0
2003,127158,Emily Griffith Technical College,00559600,1,Main Campus,6644,0,0,0
2003,128337,Empire Beauty School-Thornton,00757306,1,Empire Beauty School - Thornton- CO,148,0,0,0
2003,127185,Fort Lewis College,00135300,1,Main Campus,4182,2,19,47
2003,127200,Front Range Community College,00793300,1,Westminster Campus,15301,0,0,0
2003,127200,Front Range Community College,00793300,2,Larimer Campus,15301,0,0,0
2003,127200,Front Range Community College,00793300,3,Boulder County Campus,15301,0,0,0
2003,372329,IBMC College,03006300,1,Main Campus,270,0,0,0
2003,127273,Iliff School of Theology,00135400,1,Main Campus,346,0,0,0
2003,128179,Intellitec College-Colorado Springs,02253700,1,IntelliTec College - Colorado Springs,427,0,0,0
2003,128188,Intellitec College-Grand Junction,03066900,1,INTELLITEC COLLEGE-GRAND JUNCTION,255,0,0,0
2003,127316,International Salon and Spa Academy,01285000,1,International Salon and Spa Academy,186,0,0,0
2003,127389,Lamar Community College,00135500,1,Lamar Community College,1091,0,0,0
2003,126951,Lincoln College of Technology-Denver,00793806,1,Lincoln College of Technology,992,0,0,0
2003,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),20261,1,16,6
2003,127954,Montessori Education Center of the Rockies,03306300,1,Main Campus,87,0,0,0
2003,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1564,0,0,0
2003,127653,Naropa University,02117500,1,Arapahoe Campus,1423,0,0,0
2003,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),3077,0,1,8
2003,127778,Otero Junior College,00136200,1,Main Campus,1650,0,0,36
2003,128151,Pickens Technical College,01287500,1,Pickens Technical College,818,1,0,0
2003,127820,Pikes Peak Community College,00889600,1,Centennial Campus,10581,0,3,2
2003,127820,Pikes Peak Community College,00889600,2,Rampart Range Campus,10581,0,0,0
2003,127820,Pikes Peak Community College,00889600,3,Downtown Studio Campus,10581,0,1,0
2003,442134,Pima Medical Institute-Colorado Springs,02217108,1,Colorado Springs,242,0,0,0
2003,404912,Pima Medical Institute-Denver,02217104,1,Denver Campus,560,0,0,0
2003,260813,Platt College-Aurora,03014900,1,Main Campus,115,0,0,0
2003,127884,Pueblo Community College,02116300,1,Main Campus,5747,0,1,0
2003,127884,Pueblo Community College,02116300,2,Pueblo Community College at Fremont,5747,0,0,0
2003,127884,Pueblo Community College,02116300,3,SCCC Campus-West,5747,0,0,0
2003,127884,Pueblo Community College,02116300,4,SCCC Campus- East,5747,0,0,0
2003,127909,Red Rocks Community College,00954300,1,Red Rocks Community College,7693,0,14,1
2003,127918,Regis University,00136300,1,Northwest Denver Campus,11583,0,0,0
2003,127945,Rocky Mountain College of Art and Design,00764900,1,Rocky Mountain College of Art + Design,421,0,0,0
2003,436261,Southwest Acupuncture College-Boulder,02622002,1,Boulder Campus,127,0,0,0
2003,126605,Spartan College of Aeronautics and Technology,00729700,1,Main Campus,951,0,0,0
2003,126915,Technical College of the Rockies,02156200,1,Main Campus,1223,0,0,0
2003,443289,Tigi Hairdressing Academy-Colorado Springs,03670300,1,Main Campus Colorado Springs,61,0,0,0
2003,128258,Trinidad State College,00136800,1,Trinidad Campus,2022,0,0,1
2003,128258,Trinidad State College,00136800,2,Valley Campus,2022,0,0,0
2003,126614,University of Colorado Boulder,00137000,1,Main Campus,32423,3,79,357
2003,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8712,2,15,32
2003,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,15746,1,16,6
2003,127060,University of Denver,00137100,1,University Park Campus,9521,0,3,1
2003,127741,University of Northern Colorado,00134900,1,Main Campus,13204,0,24,207
2003,179894,Webster University,00252100,10,Colorado Springs Metropolitan Campus,18740,0,0,0
2003,128391,Western Colorado University,00137200,1,Main Campus,2410,0,35,17
2004,126182,Adams State University,00134500,1,Adams State University,8954,0,20,45
2004,126207,Aims Community College,00758200,1,Greeley Campus,4837,0,0,0
2004,126207,Aims Community College,00758200,2,Aims Community College - Loveland Campus,4837,0,0,0
2004,126207,Aims Community College,00758200,3,Aims Community College - Fort Lupton Campus,4837,0,0,0
2004,126289,Arapahoe Community College,00134600,1,Arapahoe Community College,7560,1,3,0
2004,372356,Avalon Institute-Aurora,03027400,1,Avalon institute-Aurora,105,0,0,0
2004,126359,Bel-Rea Institute of Animal Technology,01267000,1,Main Campus,733,0,0,0
2004,381699,Cheeks Beauty Academy,02211901,1,BRANCH CAMPUS,32,0,0,0
2004,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,1680,0,0,0
2004,126678,Colorado College,00134700,1,Colorado College,2044,0,0,3
2004,443632,Colorado Media School,03068201,1,Colorado Media School,285,0,0,0
2004,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6235,1,12,25
2004,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6361,1,2,13
2004,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,2201,0,2,1
2004,381732,Colorado School of Healing Arts,03584400,1,Colorado School of Healing Arts,256,0,0,0
2004,126775,Colorado School of Mines,00134800,1,Main Campus,4101,0,16,54
2004,126784,Colorado School of Trades,01157200,1,Main Campus,120,0,0,0
2004,381352,Colorado School of Traditional Chinese Medicine,03686300,1,Main Campus,107,0,0,0
