Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2004,127060,University of Denver,00137100,1,University Park Campus,9808,0,0,6,,,0,,,0,1,28,0,1
2004,127741,University of Northern Colorado,00134900,1,Main Campus,13156,0,0,9,,,1,,,0,0,19,0,0
2004,128391,Western Colorado University,00137200,1,Main Campus,2301,0,0,1,,,0,,,0,0,7,0,0
2005,126182,Adams State University,00134500,1,Adams State University,9157,0,0,3,,,0,,,0,1,2,0,0
2005,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2122,0,0,0,,,0,,,0,0,0,0,0
2005,126678,Colorado College,00134700,1,Colorado College,2016,0,0,1,,,0,,,0,0,9,0,0
2005,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6062,0,0,3,,,0,,,0,2,11,0,0
2005,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5682,0,0,0,,,0,,,0,1,1,0,0
2005,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1518,0,0,0,,,0,,,0,0,4,1,0
2005,126775,Colorado School of Mines,00134800,1,Main Campus,4318,0,0,3,,,0,,,1,2,6,4,1
2005,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,5870,0,0,1,,,0,,,0,1,5,0,0
2005,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27780,0,0,0,,,1,,,0,2,3,4,3
2005,126979,Denver Seminary,00135200,1,Main Campus,851,0,0,0,,,0,,,0,0,4,0,0
2005,127185,Fort Lewis College,00135300,1,Main Campus,3946,0,0,2,,,0,,,0,0,22,0,2
2005,127273,Iliff School of Theology,00135400,1,Main Campus,321,0,0,0,,,0,,,0,0,0,0,0
2005,127389,Lamar Community College,00135500,1,Lamar Community College,986,0,0,0,,,0,,,0,0,0,0,0
2005,127653,Naropa University,02117500,1,Arapahoe Campus,1222,0,0,0,,,0,,,0,0,0,0,0
2005,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2859,0,0,0,,,0,,,0,0,13,0,0
2005,127778,Otero Junior College,00136200,1,Main Campus,1636,0,0,0,,,0,,,0,0,0,0,0
2005,127918,Regis University,00136300,1,Northwest Denver Campus,11566,0,0,0,,,0,,,0,0,0,0,0
2005,128258,Trinidad State College,00136800,1,Trinidad Campus,1831,0,0,0,,,0,,,0,0,2,0,0
2005,126614,University of Colorado Boulder,00137000,1,Main Campus,31589,0,0,5,,,1,,,2,8,29,1,1
2005,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9333,0,0,0,,,0,,,0,0,2,0,0
2005,127060,University of Denver,00137100,1,University Park Campus,10374,0,0,2,,,0,,,0,1,18,0,2
2005,127741,University of Northern Colorado,00134900,1,Main Campus,13622,0,0,5,,,0,,,0,0,11,0,3
2005,128391,Western Colorado University,00137200,1,Main Campus,2253,0,0,0,,,0,,,0,0,17,0,0
2006,126182,Adams State University,00134500,1,Adams State University,8442,0,0,1,,,0,,,0,0,3,0,0
2006,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2166,0,0,0,,,0,,,0,0,2,0,0
2006,126678,Colorado College,00134700,1,Colorado College,1998,0,0,0,,,0,,,0,0,7,0,0
2006,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6211,0,0,0,,,0,,,0,3,9,0,0
