Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2010,126614,University of Colorado Boulder,00137000,1,Main Campus,32697,0,269,421
2010,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9745,0,48,30
2010,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,24108,0,0,0
2010,127060,University of Denver,00137100,1,University Park Campus,11842,0,1,7
2010,127741,University of Northern Colorado,00134900,1,Main Campus,13030,0,65,87
2010,128391,Western Colorado University,00137200,1,Main Campus,2325,0,27,7
2011,126182,Adams State University,00134500,1,Adams State University,3302,0,10,3
2011,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,3490,0,0,0
2011,126678,Colorado College,00134700,1,Colorado College,2043,0,5,0
2011,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9005,0,46,23
2011,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5823,0,12,0
2011,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1291,0,3,1
2011,126775,Colorado School of Mines,00134800,1,Main Campus,5524,0,1,17
2011,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7174,0,22,59
2011,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,30467,0,39,64
2011,126979,Denver Seminary,00135200,1,Main Campus,1018,0,0,0
2011,127185,Fort Lewis College,00135300,1,Main Campus,3841,0,57,81
2011,127273,Iliff School of Theology,00135400,1,Main Campus,361,0,0,0
2011,127389,Lamar Community College,00135500,1,Lamar Community College,935,0,0,0
2011,127653,Naropa University,02117500,1,Arapahoe Campus,1090,0,0,0
2011,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2154,0,2,30
2011,127778,Otero Junior College,00136200,1,Main Campus,1546,0,5,7
2011,127918,Regis University,00136300,1,Northwest Denver Campus,11253,0,0,0
2011,128258,Trinidad State College,00136800,1,Trinidad Campus,1839,0,0,28
2011,126614,University of Colorado Boulder,00137000,1,Main Campus,32558,1,303,425
2011,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,10183,0,12,29
2011,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,22495,0,1,0
2011,127060,University of Denver,00137100,1,University Park Campus,11797,1,2,9
2011,127741,University of Northern Colorado,00134900,1,Main Campus,13038,0,68,81
2011,128391,Western Colorado University,00137200,1,Main Campus,2242,0,26,17
2012,126182,Adams State University,00134500,1,Adams State University,3290,1,25,0
2012,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,3917,0,0,0
2012,126678,Colorado College,00134700,1,Colorado College,2022,0,0,3
2012,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,9482,0,62,29
2012,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5847,0,0,0
2012,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1158,0,0,0
2012,126775,Colorado School of Mines,00134800,1,Main Campus,5721,0,2,3
2012,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6805,0,6,66
2012,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,30659,1,45,102
2012,126979,Denver Seminary,00135200,1,Main Campus,985,0,0,0
2012,127185,Fort Lewis College,00135300,1,Main Campus,3883,0,29,45
